"","expr","time"
"1","certified_ILP(100)",11650210200
"2","certified_ILP(100)",12649952900
"3","certified_ILP(100)",12209246800
"4","certified_ILP(100)",13113714200
"5","linear_Trees(100)",604987600
"6","certified_ILP(100)",14615711100
"7","certified_ILP(100)",13553955300
"8","linear_Trees(100)",614755600
"9","linear_Trees(100)",470099400
"10","certified_ILP(100)",12855520100
"11","linear_Trees(100)",576607800
"12","linear_Trees(100)",609892900
"13","certified_ILP(100)",13266172800
"14","linear_Trees(100)",596376600
"15","linear_Trees(100)",602719800
"16","linear_Trees(100)",604435500
"17","certified_ILP(100)",13598422400
"18","linear_Trees(100)",471381500
"19","linear_Trees(100)",552650200
"20","certified_ILP(100)",12340332000
"21","linear_Trees(100)",578276700
"22","certified_ILP(100)",13382535000
"23","certified_ILP(100)",13969169100
"24","certified_ILP(100)",12207778700
"25","linear_Trees(100)",584443300
"26","certified_ILP(100)",12500493800
"27","certified_ILP(100)",13177539700
"28","certified_ILP(100)",14431963400
"29","certified_ILP(100)",12908192300
"30","linear_Trees(100)",571049100
"31","linear_Trees(100)",676520200
"32","certified_ILP(100)",13854353600
"33","linear_Trees(100)",742617200
"34","linear_Trees(100)",679041100
"35","linear_Trees(100)",681665100
"36","certified_ILP(100)",14815468500
"37","linear_Trees(100)",1283445600
"38","certified_ILP(100)",12162204600
"39","certified_ILP(100)",12179023800
"40","certified_ILP(100)",12949863400
"41","linear_Trees(100)",583320900
"42","linear_Trees(100)",583209800
"43","linear_Trees(100)",593375700
"44","certified_ILP(100)",12987338600
"45","certified_ILP(100)",12013918700
"46","certified_ILP(100)",12614580300
"47","certified_ILP(100)",13550389600
"48","certified_ILP(100)",12775600900
"49","linear_Trees(100)",483620200
"50","certified_ILP(100)",12999388200
"51","certified_ILP(100)",13958759900
"52","linear_Trees(100)",615001100
"53","linear_Trees(100)",606945700
"54","certified_ILP(100)",13741570500
"55","certified_ILP(100)",12336791500
"56","certified_ILP(100)",13104021700
"57","linear_Trees(100)",592551600
"58","certified_ILP(100)",14084990600
"59","certified_ILP(100)",12697440300
"60","linear_Trees(100)",561328400
"61","certified_ILP(100)",13529262200
"62","linear_Trees(100)",608369500
"63","certified_ILP(100)",13210354800
"64","certified_ILP(100)",14287075600
"65","certified_ILP(100)",12881922600
"66","certified_ILP(100)",14218416300
"67","linear_Trees(100)",660922100
"68","linear_Trees(100)",637415500
"69","linear_Trees(100)",704712200
"70","certified_ILP(100)",15380377200
"71","linear_Trees(100)",684847500
"72","linear_Trees(100)",667100900
"73","certified_ILP(100)",13105487100
"74","certified_ILP(100)",13928178400
"75","linear_Trees(100)",730440500
"76","certified_ILP(100)",14997159200
"77","linear_Trees(100)",638710200
"78","certified_ILP(100)",14853599200
"79","linear_Trees(100)",533746200
"80","certified_ILP(100)",12842480900
"81","linear_Trees(100)",659805400
"82","linear_Trees(100)",609829700
"83","certified_ILP(100)",13179294700
"84","linear_Trees(100)",617240900
"85","certified_ILP(100)",13959241500
"86","certified_ILP(100)",13190807700
"87","certified_ILP(100)",13402322600
"88","certified_ILP(100)",14515744100
"89","certified_ILP(100)",14811029600
