Observations (linear program),Observations (ILP_program)
0.87,75.82
1.29,60.24
1.36,38.11
0.81,47.71
0.59,77.65
0.79,35.3
0.97,47.09
1.61,77.67
1.59,50.22
1.25,60.87
1.48,51.47
1.02,34.98
1.08,65.06
0.97,74.84
1.01,45.42
1.04,43.75
1.02,72.89
1.71,52.1
0.95,55.86
1.75,37.8
1.11,36.55
0.81,43.95
0.8,34.67
1.06,36.86
1.03,45.83
1.14,42.49
0.98,39.68
1.63,70.93
0.99,78.11
1.41,41.45
1.22,37.49
1.52,49.59
1.73,35.61
0.93,61.49
1.76,54.6
0.94,48.97
0.82,40.61
0.89,52.72
1.38,78.21
1.34,77.78
0.91,34.36
0.79,40.93
0.9,68.97
0.97,71.91
1.17,44.79
0.83,38.42
1,57.73
1.04,84.63
1.15,76.8
1.24,59.61
1.9,55.23
1.7,41.87
1.72,50.84
1.01,41.66
1.21,42.7
1.31,46.46
0.76,69.95
1.55,36.23
1.03,39.99
0.98,45.62
1.57,66.03
0.85,44.58
1.1,46.25
1.83,39.36
0.87,45
1,64.08
1.46,63.1
1.5,75.74
1.76,40.3
0.95,58.99
1.32,44.16
0.96,56.48
0.96,45.21
1.66,37.17
1.18,77.29
0.92,34.05
0.89,38.74
0.94,39.05
0.92,42.91
0.86,42.07
1.13,42.28
1.39,73.86
1.44,57.11
0.83,41.24
1.68,46.04
0.78,78.29
0.85,44.37
1.2,43.33
1.28,67.99
1.07,33.73
1.27,53.35
0.93,35.92
1.68,53.98
0.88,67.01
1.35,48.34
0.99,58.36
0.84,43.12
1.81,62.12
0.77,26.1
0.77,43.54
