Observations (linear_program),Observations (ILP_program)
1.59,1013.6
1.82,509.63
2.97,731.35
3.19,642.15
3.68,817
2.75,579.98
2.04,550.25
2.72,956.37
3.5,489.3
1.72,593.5
1.91,1013.01
2.18,617.83
3.41,842.34
2.09,566.47
3.46,529.96
1.55,981.71
3.1,723.24
1.69,436.44
3.52,1012.06
2.08,505.57
2.03,969.04
3.32,534.03
1.95,650.26
1.68,596.2
2.58,598.91
2.66,796.22
1.67,666.48
1.74,456.77
2.52,804.33
2.49,867.68
1.94,477.1
2.32,473.04
3.01,763.78
1.54,497.43
1.56,571.87
2.43,931.03
1.77,698.91
2.46,481.17
1.8,521.83
1.19,1012.07
1.65,880.35
2.04,468.97
2.63,634.04
2.6,558.36
2.24,525.9
1.92,829.67
1.9,485.24
3.23,715.13
2,1012.4
1.96,563.76
1.81,493.37
1.88,690.81
3.53,513.7
3.14,440.51
2.92,561.06
2.83,501.5
1.99,539.43
1.58,544.84
1.87,707.02
1.85,448.64
3.37,577.28
2.12,588.09
2.29,601.61
1.75,658.37
2.41,674.59
1.61,585.39
2.88,552.95
1.84,1012.72
1.62,569.17
2.8,1007.05
1.64,855.01
2.02,590.8
2.01,582.69
3.28,464.91
1.71,517.76
2.06,905.69
2.77,994.38
3.57,547.54
3.56,452.71
1.98,337.57
1.89,771.89
3.05,893.02
2.38,739.46
2.1,943.7
3.59,918.36
2.69,780
2.55,460.84
2.07,1012.73
3.77,755.68
2.26,625.93
2.05,788.11
2.35,609.72
2.21,536.73
1.93,747.57
3.51,542.14
1.97,555.65
1.78,682.7
2.15,574.58
3.54,1011.74
2.11,444.58
